"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Ethnicity"	"Ethnicity Code"	Count	Population	Crude Rate
	"Respiratory System"	"22010-22060"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	16	21131337	0.08
	"Respiratory System"	"22010-22060"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	17	26628872	0.06
	"Respiratory System"	"22010-22060"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	87	81863203	0.11
	"Respiratory System"	"22010-22060"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	33	21789453	0.15
	"Respiratory System"	"22010-22060"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	33	24458225	0.13
	"Respiratory System"	"22010-22060"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	85	83288890	0.10
	"Respiratory System"	"22010-22060"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	29	22522667	0.13
	"Respiratory System"	"22010-22060"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	38	25584511	0.15
	"Respiratory System"	"22010-22060"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	145	87937808	0.16
	"Respiratory System"	"22010-22060"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	52	21954753	0.24
	"Respiratory System"	"22010-22060"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	44	23172123	0.19
	"Respiratory System"	"22010-22060"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	216	86376429	0.25
	"Respiratory System"	"22010-22060"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	37	6941880	0.53
	"Respiratory System"	"22010-22060"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	86	22651117	0.38
	"Respiratory System"	"22010-22060"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	145	25515649	0.57
	"Respiratory System"	"22010-22060"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	348	91062897	0.38
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	24	7734116	0.31
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	90	20446255	0.44
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	110	22741944	0.48
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	403	84979293	0.47
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	60	7828512	0.77
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	120	20004627	0.60
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	231	26860662	0.86
	"Respiratory System"	"22010-22060"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	607	87347663	0.69
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	65	9006517	0.72
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	143	18868634	0.76
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	151	22941084	0.66
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	690	81912125	0.84
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	73	8378616	0.87
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	168	17167942	0.98
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	291	26566454	1.10
	"Respiratory System"	"22010-22060"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	958	82857754	1.16
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	21	1155690	1.82
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	141	9107824	1.55
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	301	18662644	1.61
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	268	22303145	1.20
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1591	84049066	1.89
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	27	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	155	8348415	1.86
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	376	16694766	2.25
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	373	24862338	1.50
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1740	85346899	2.04
	"Respiratory System"	"22010-22060"	"30-34 years"	"30-34"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	33	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	43	1203824	3.57
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	298	8785090	3.39
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	924	19274947	4.79
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	542	20874612	2.60
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	4868	92649394	5.25
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	36	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	37	1155268	3.20
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	322	8026084	4.01
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	20	977081	2.05
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	985	17096494	5.76
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	642	22474886	2.86
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	4910	93367478	5.26
	"Respiratory System"	"22010-22060"	"35-39 years"	"35-39"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	48	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	116	1274681	9.10
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	568	8119223	7.00
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	42	932589	4.50
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	3201	19765691	16.19
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	1159	18543430	6.25
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	15389	102849574	14.96
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	20	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	85	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	137	1191814	11.50
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	640	7312907	8.75
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	42	846216	4.96
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	3897	17530687	22.23
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	1331	19529364	6.82
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	16025	102841804	15.58
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	30	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	119	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	310	1260018	24.60
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	25	230527	10.84
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	1045	7475406	13.98
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	84	793363	10.59
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	7303	19002859	38.43
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	2047	15627590	13.10
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	35861	107275921	33.43
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	42	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	151	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	281	1163592	24.15
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	28	217297	12.89
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	1252	6607416	18.95
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	129	711521	18.13
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	9967	16747555	59.51
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	2479	15937222	15.55
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	40905	106235065	38.50
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	64	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	230	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	493	1125465	43.80
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	24	180640	13.29
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	1681	6678615	25.17
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	134	630653	21.25
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	11544	16910792	68.26
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	3171	12604200	25.16
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	62771	103781807	60.48
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	55	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	218	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Hispanic"	"2135-2"	18	360538	4.99
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	578	1029345	56.15
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	41	165992	24.70
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	2173	5756437	37.75
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	198	565665	35.00
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	18447	14657560	125.85
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	4530	12315825	36.78
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	81298	101619711	80.00
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	108	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	408	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	711	890853	79.81
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	35	128636	27.21
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	2279	5466810	41.69
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	180	457179	39.37
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	14565	13557258	107.43
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	4168	9735351	42.81
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	95869	91952736	104.26
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	70	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	354	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Hispanic"	"2135-2"	23	241498	9.52
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	895	814265	109.92
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	54	113953	47.39
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	3131	4626239	67.68
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	262	400114	65.48
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	25455	11368986	223.90
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	6446	9028052	71.40
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	130852	88477215	147.89
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	135	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	598	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	954	657947	145.00
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	30	89300	33.59
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	2708	4173527	64.89
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	200	331463	60.34
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	16835	10362896	162.45
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	5329	7346564	72.54
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	135987	76721518	177.25
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	70	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	447	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Hispanic"	"2135-2"	27	154306	17.50
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	1126	604053	186.41
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	71	75281	94.31
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	4165	3530564	117.97
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	285	274740	103.73
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	29032	8330302	348.51
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	8371	6455309	129.68
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	182977	72111393	253.74
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	136	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	771	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Hispanic"	"2135-2"	22	107961	20.38
